
============================================================
文件: 邓棋面试录音.m4a
[面试官] 你在做YouTube
[候选人] Ince 紅人開發
[面试官] 這一塊的
[候选人] 能力
[候选人] 我想了解一下
[候选人] 當時最高峰的時候
[面试官] 你們每週
[面试官] 能開發大概多少達人
[候选人] 回復率是多少
[面试官] 我們更常來講
[面试官] 每天至少
[面试官] 要見人
[面试官] 來來來來去見達
[面试官] 然後回頭去看
[面试官] 看情況
[面试官] 最早上是
[面试官] 百萬千萬的時間
[面试官] 那也不算高
[候选人] 我們有一個品線是
[候选人] 回復率是百分之二十
[面试官] 那你們建聯
[候选人] 一百到兩百個紅人
[候选人] 是自己手動建聯
[候选人] 還是說
[候选人] 有借助一些
[面试官] 紅人開發的工具
[面试官] 在這邊
[面试官] 根據分公司的情況不同
[面试官] 有的公司
[面试官] 要發揮的工具
[面试官] 有的話就是
[面试官] 手中
[面试官] 就是你
[候选人] 你做的這一塊業務沒有嗎
[面试官] 紅人開發這一塊
[候选人] 我就是
[面试官] 前面幾個工作是沒有
[面试官] 沒有這個工具
[面试官] 就是自己手中開發的
[面试官] 那最近的這一份
[面试官] 是用到了什麼工具呢
[面试官] 還是說
[候选人] 你的前幾份的意思
[候选人] 就是說都沒有用到過
[候选人] 一些比如說
[候选人] 就是有紅人資源的一些平台
[候选人] 或是說一些工具
[候选人] 都沒有使用
[面试官] 最近這條路
[面试官] 是有用到
[面试官] 但是我忘了
[面试官] 叫什麼名字了
[面试官] 過兔嗎
[候选人] 還是什麼
[面试官] 對
[面试官] 對 是話題
[候选人] 那你們用
[候选人] 握兔這個平台
[候选人] 你覺得用了
[候选人] 和你自己手動建聯
[候选人] 對你們效率有提升嗎
[面试官] 找
[面试官] 找紅人的這個
[面试官] 事務上
[面试官] 會提升一些
[候选人] 但可能回復率
[候选人] 可能也
[面试官] 回復率我都操作不足
[面试官] 對呀
[候选人] 因為回復率
[候选人] 它更看的是
[面试官] 一個是看你的產品
[候选人] 對你的產品
[面试官] 感不感興趣
[候选人] 二一個可能是你的開發性
[候选人] 然後這種平台
[候选人] 只提供紅人的資源
[候选人] 但它也可以不回復你
[候选人] ok
[候选人] 假設
[候选人] 就是
[候选人] 如果說我們的目標
[候选人] 是20%的回復率
[候选人] 然後呢
[候选人] 但是我們這個平台
[候选人] 可能只能做到10%
[候选人] 那你會如何去
[候选人] 提升這個回復率
[面试官] 第一個是先把你的那個
[面试官] 你的開發性
[面试官] 可能還要重新再整合一下
[面试官] 看是不是有些東西
[面试官] 有就是
[面试官] 剛開始的前幾句
[面试官] 那個破格他刷得住了
[面试官] 包括你的標題
[面试官] 有限的主題這些東西
[面试官] 看能不能
[面试官] 這時代有話想能不能講
[面试官] 抓住
[面试官] 受限的力氣
[面试官] 第二的話就是看
[面试官] 你的細節
[面试官] 就是你那時候合作的一些
[面试官] 那個
[面试官] 種類等等東西
[面试官] 可以
[面试官] 或者說你那個
[面试官] 你那時候合作的一些
[面试官] 就是
[面试官] 就是能合作的
[面试官] 測量能夠
[面试官] 更性能一點
[面试官] 然後第三的話就是
[面试官] 找答案的話
[面试官] 還是要精細一點
[面试官] 就是看一些
[面试官] 比方說
[面试官] 比方說一些視頻
[面试官] 它能答案的那些視頻
[面试官] 它是不是最經常平心
[面试官] 或者說
[面试官] 它個人
[面试官] 有沒有在一些那個
[面试官] 平均區等等
[面试官] 在中區有參與到
[面试官] 就是會有的
[面试官] 有參與到
[面试官] 就是會找一些那種
[面试官] 更新表情反應達人
[面试官] 或者說
[面试官] 他或是比較高的人
[面试官] 能把人的回覆
[面试官] 跟他會高於幾
[面试官] OK啊
[面试官] 那既然你說到這個
[候选人] 有見的話
[候选人] 如果說在
[候选人] 不提高你給
[候选人] 達人固定付費預算的前提之下
[候选人] 你會如何去
[候选人] 優化你的這個開發性
[面试官] 就我開發起的
[面试官] 第一是你的標題
[面试官] 怎麼樣更新
[面试官] 可以再具體一點
[面试官] 你的主題比方說
[面试官] 正常來講
[面试官] 在一個主題的話就是
[面试官] 就是
[面试官] 傳聞合作嘛
[面试官] 比方說商業合作
[面试官] 或者說
[面试官] 產品合作那種東西
[面试官] 它會說
[面试官] 我在一個外人的話
[面试官] 可能就是說
[面试官] 加上具體的數字
[面试官] 或者說加上
[面试官] 加上具體的品牌
[面试官] 或者加上具體的產品
[面试官] 甚至說
[面试官] 我可以再加上
[面试官] 加上你的頭髮
[面试官] 這樣的話
[面试官] 它可能就是會跟
[面试官] 更加實合的
[面试官] 做個可信度
[面试官] 不高的
[候选人] 那如果你們
[候选人] 亞馬遜的評分很低呢
[面试官] 這個就是
[面试官] 具體分的具體分析嗎
[面试官] 對啊
[候选人] 如果很低的話
[候选人] 那放上去就
[候选人] 其實沒有什麼
[候选人] 好的作用了
[面试官] 不可能所有的都能對
[面试官] 對
[面试官] 這個具體分析就是這種東西
[面试官] OK啊
[候选人] 那如果說
[候选人] 就是你
[面试官] 就是因為
[候选人] 這個港的話
[候选人] 其實會更偏向
[候选人] KOL主管這麼一個港
[候选人] 就是會帶團隊的港
[候选人] 然後
[候选人] 那
[候选人] 就是像剛剛這種
[候选人] 如果說你的
[候选人] 手下的專員
[候选人] 他可能在進行
[候选人] 第一次見臉的時候
[候选人] 或在寫第一封信的時候
[候选人] 或是談判階段
[候选人] 你怎麼樣去知道
[候选人] 他們去過濾掉那些
[候选人] 為了騙樣機
[面试官] 但是不產出的網紅呢
[面试官] 騙樣機
[面试官] 對
[面试官] 這個東西首先
[面试官] 第一點的話就是說
[面试官] 他的建議的一個方式
[面试官] 就是需要辨別一下
[面试官] 比方說
[面试官] 真的還想
[面试官] 也是剛才的話就是
[面试官] 都是從他的個人的
[面试官] 各種的主業上面去摘取
[面试官] 或者說
[面试官] 簡介上面去摘取
[面试官] 不會說從這個地方取到
[面试官] 但是我們會
[面试官] 首先是保證
[面试官] 他是有一個真正的
[面试官] 第二個的話就是
[面试官] 騙樣機這個點的話
[面试官] 正常來說
[面试官] 我之前是很少見過
[面试官] 因為
[面试官] 我們的
[面试官] 主機前的一些產品其實
[面试官] 要麼就是
[面试官] 因為說我們很便宜
[面试官] 要麼就是比較貴人
[面试官] 但是能夠讓我們
[面试官] 請接受付費
[面试官] 這樣子的話就是
[面试官] 因為我們他可能
[候选人] 我們有貴的
[候选人] 但是也有
[候选人] 因為我們是永持機器人
[候选人] 然後我們
[候选人] 是從100到600美金
[候选人] 都有覆蓋
[候选人] 那可能一兩百美金的
[候选人] 那也差不多一千多人民幣了
[候选人] 對 然後如果說
[候选人] 就是全部都置換的話
[候选人] 然後很多紅人
[候选人] 因為沒有簽合同
[候选人] 因為置換的話
[面试官] 他可能就不會拍攝
[面试官] 那這個也是虧損的成本
[面试官] 這一點的話
[面试官] 之前我們告訴
[面试官] 不晚有那麽
[面试官] 力量的案例不晚很多
[面试官] 這種的話
[面试官] 主要還是看這個
[面试官] 看概率嘛
[面试官] 如果說
[面试官] 你的概率很高的情況下
[面试官] 那麼就是要
[面试官] 逐漸去決定
[面试官] 但如果說
[面试官] 比方說你合作了一千個
[面试官] 或者說一百個
[面试官] 當中的力量
[面试官] 和這種情況的話
[面试官] 這個不等必然
[面试官] 因為
[面试官] 各個國產
[面试官] 有什麽樣的人都有
[面试官] 如果說遇到的話
[面试官] 他們只能比
[面试官] 沒遇到之前的話
[面试官] 我們感覺就是
[面试官] 一點都會說
[面试官] 從他的一些溝通的
[面试官] 一些細節他們思考
[面试官] 比方說
[面试官] 如果他很急不想這個東西
[面试官] 就沒有關注你
[面试官] 別的一些細節
[面试官] 那麼這種的話
[面试官] 就是有可能要
[面试官] 在深入的在聊天
[面试官] 要看是不是有合作的必要
[面试官] 第二點的話就是說
[面试官] 我們會整理一個
[面试官] 比較簡單一點的
[面试官] 合作
[面试官] 不會說那時候
[面试官] 什麽需要蓋章
[面试官] 或者什麽的
[面试官] 比較形式一點的合作
[面试官] 就是
[面试官] 簡單的優術一下
[面试官] 第三個就是
[面试官] 我剛剛提到
[面试官] 如果說
[面试官] 這個概率很低的情況下
[面试官] 這個應該辦法
[面试官] 如果說很高的話
[面试官] 就是當中再解決
[面试官] OK
[候选人] 然後因為我關注
[候选人] 這一塊的話
[候选人] 你沒有量化
[候选人] 你的這個工作成果
[候选人] 所以我想了解一下
[候选人] 就是在
[候选人] KOAO這一塊
[候选人] 你們當
[候选人] 就是你當時是
[候选人] 做出了什麽樣的成績
[候选人] 就比如說
[候选人] 一個月
[候选人] 印詞YouTube
[候选人] 或者TK
[候选人] 全平臺曝光有多少
[候选人] 轉化有多少
[候选人] 這個可以大概講一下嗎
[面试官] 我最近
[面试官] 就是
[面试官] 因為我最近這個樣子的時候
[面试官] 所謂工作崗位的話
[面试官] 只要是運營這一塊
[面试官] 那我就想講
[面试官] 前面的一些心理吧
[面试官] 就是在每個月內
[面试官] 我基本上
[面试官] 做了一年
[面试官] 我的合作就是產出
[面试官] 視頻產出這一塊的話
[面试官] 好像是有
[面试官] 一兩百個這樣子
[面试官] 兩年時間
[面试官] 對
[面试官] 因為我當時
[面试官] 工作的主要的一個點的話
[面试官] 就是會分得很散
[面试官] 因為我不是
[面试官] 老可能會是的話
[面试官] 就是
[面试官] 這個崗位的話
[面试官] 就主要POL
[面试官] 但是我之前的一些
[面试官] 我之前的工作心理的話
[面试官] 都是說我的經濟
[面试官] 會
[面试官] 才分得比較散一點
[面试官] 因為POL
[面试官] 不是我合作唯一的
[面试官] 一個工作內容
[面试官] 那差不多
[候选人] 一個月平均
[候选人] 十個
[面试官] 十條上線視頻
[面试官] 十條上線視頻
[候选人] 一年就是一百二
[候选人] 兩年就是二百四
[候选人] 所以一個月就上線十個
[面试官] 十多個差不多
[面试官] 然後我的那個
[面试官] 因為我們
[面试官] 在那家公司的話
[面试官] 主要是自賣為主
[面试官] 自賣的話
[面试官] 它的的話就是
[面试官] 成功備換成D
[面试官] 然後成功備換成D的話
[面试官] 就是但轉化的話
[面试官] 反正這個成功
[面试官] 整顆收回來了
[面试官] 我大概應該有個
[面试官] 一一半
[面试官] 二二一是吧
[候选人] 對
[面试官] 因為基本上比較多貨幣
[面试官] 所以你在這個
[候选人] 康希洛這家公司
[候选人] 主要就是
[候选人] KOL這一塊
[候选人] 做的比較少
[候选人] 對
[面试官] 因為我們有專門
[面试官] 我們自己做的事情
[面试官] 就是做
[面试官] 贊內運營這一塊
[面试官] 然後付費也沒有這一塊
[面试官] 贊內
[候选人] 那你這裡寫的
[候选人] 就是紅人篩選這些
[候选人] 你也是沒有參與的
[面试官] 就是
[面试官] 他剛進來的
[面试官] 就是另外就是
[面试官] 剛進來的時候
[面试官] 我是幫他做篩選
[面试官] 因為他沒進來之前的話
[面试官] 我也負責這一項工作
[面试官] 我們就是在出國交流
[面试官] 什麼的
[面试官] 所以你在這家公司的
[候选人] 定位
[面试官] 是獨立戰主管
[候选人] 然後下面
[候选人] 帶的有
[面试官] 幾個人
[面试官] 也就是說蓋了
[面试官] 就是
[面试官] 趕快去細分的
[面试官] 和平上
[面试官] 確定就是
[面试官] 各個每個人的
[面试官] 不同的事情都做
[面试官] 那你在
[候选人] 戶外這個
[候选人] 型制的品類
[候选人] 有重點做KOL嗎
[面试官] 那一家人是
[面试官] 也是差不多就是
[面试官] KOL
[面试官] 設備廣告其實都一起了
[面试官] 那這一家的話
[候选人] 就是有量化的
[候选人] 就是在KOL
[候选人] 這一塊的工作成果
[面试官] 其實跟
[面试官] 跟每個人差不多
[面试官] 都是以支換為主
[面试官] 因為我們那個單價很高
[面试官] 但是你每輪
[候选人] 那個客單價是比較低的吧
[候选人] 這個是
[面试官] 這個是比較高的
[面试官] 都是以支換為主
[面试官] 然後我們的一個
[面试官] 這個高客單的
[面试官] 也是支換為主
[面试官] 對
[面试官] 因為那個老闆夫
[面试官] 不太認識的話這個錢
[面试官] 就是
[面试官] 他那個
[面试官] 本身他的產品
[面试官] 都已經
[面试官] 大其他已經了
[面试官] 所以說他基本上
[面试官] 很少說
[面试官] 願意化
[面试官] 願意付更去
[面试官] 做這個事情
[面试官] 然後在那家公司的話
[面试官] 其實差也差不太多
[面试官] 也是一年
[面试官] 有100多個視頻吧
[面试官] 然後
[面试官] 首先的話是這個
[面试官] 我們那個
[面试官] 付費的這個
[面试官] 這個支換的這個模式
[面试官] 就是
[面试官] 不是特別能夠接受
[面试官] 所以有點
[面试官] 第二個的話就是
[面试官] 所以說
[面试官] 雖說是兩個小聯
[面试官] 第二個的話就是
[面试官] 我們給過評估
[面试官] 他的效果
[面试官] 因為這個成本
[面试官] 可能都擺在那裡
[面试官] 就是
[面试官] 對
[面试官] 就是我們評估
[面试官] 到底適不適合做我們
[面试官] 然後其實
[面试官] 有些人我們有過針對
[面试官] 比方說他的
[面试官] 本次數量
[面试官] 或者說他的
[面试官] 過化數量極點不夠
[面试官] 那麼我們都會
[面试官] 給
[面试官] 就是
[面试官] 感人期便宜一點的
[面试官] 那種產品給他
[面试官] 就不願意給
[面试官] 他願意
[面试官] 要那種產品
[面试官] 其實這個倒啊
[面试官] 難得才能到
[面试官] 就是不太喜歡這種
[面试官] 這種模式
[候选人] 所以那在你的
[候选人] 今天裡面
[候选人] 你覺得一個
[候选人] 成熟的KO以後
[候选人] 專員的話
[候选人] 每個月均
[候选人] 月均初篇的及格
[面试官] 月均及格的
[候选人] 初篇量應該是多少呢
[面试官] 這個跟合作模式
[面试官] 以及跟你的
[面试官] 跟你的品牌
[面试官] 有很大的關係
[面试官] 對
[面试官] 這個不能
[面试官] 這個不能一概而論
[面试官] 但是我覺得
[面试官] 而且也跟品牌有關係
[面试官] 如果是那種
[面试官] 那種
[面试官] 即可的話
[面试官] 他一個月
[面试官] 產出了視頻的
[面试官] 我覺得至少
[面试官] 這個兩概其可
[面试官] 那如果是
[面试官] 出門的時候
[面试官] 或者說
[面试官] 一些別的特效媒體
[面试官] 那就
[面试官] 要求會更低一些
[面试官] 那就低多少
[面试官] 但是至少的話
[面试官] 初篇至少
[面试官] 有什麼用時之要
[面试官] ok
[候选人] 那你們當時的
[面试官] 曝光量有多少呢
[候选人] 大概一個月平均
[面试官] 嗯
[面试官] 我可以比較播放量嗎
[面试官] 可以
[面试官] 就是最近比較好什麼
[面试官] 還是說內加
[面试官] 你參與做KO以後
[面试官] 最多的內加
[面试官] 那就是
[面试官] 那個配家
[面试官] 出了
[面试官] 一個月的播放量
[面试官] 平均
[面试官] 全平台嗎
[面试官] 平台嗎
[面试官] 那就是一個
[面试官] 十到二十萬至少吧
[面试官] 一個月十到二十萬
[面试官] 對
[面试官] ok
[候选人] 那可以講一下
[候选人] 你篩選紅人的一個
[候选人] 標準是什麼呢
[面试官] 第一要不要
[面试官] 是看
[面试官] 我跟平台求學者
[面试官] 嗯哼
[面试官] 第一個的話就是
[面试官] 看他過去的一個
[面试官] 更新頻率
[面试官] 包括他的小郭東慧
[面试官] 包括
[面试官] 他的那個
[面试官] 視頻播放的一個
[面试官] 差異化成都
[面试官] 就是
[面试官] 比方說他過去
[面试官] 一個禮拜發了三個視頻
[面试官] 他的播放量
[面试官] 或者說
[面试官] 郭東慧有沒有
[面试官] 就是那種天差地點的那種
[面试官] 那種感覺或者是那種
[面试官] 體現
[面试官] 如果是有這種情況
[面试官] 他就會
[面试官] 他可能還會卡死的
[面试官] 就這種不到
[面试官] 不是很穩定的那種視頻
[面试官] 嗯 ok好
[候选人] 那我現在來問一下
[面试官] 假設
[面试官] 就是假設啊
[候选人] 想來現在是一個
[候选人] 也是像這種
[面试官] 高課單價的吧
[候选人] 幾百美金的
[面试官] 產品
[候选人] 然後
[面试官] 過去三個月
[候选人] 他播放量可能加起來
[候选人] 是五十萬
[候选人] 但是他幾乎沒有轉化
[候选人] 你會怎麼去定位這個問題
[面试官] 然後怎麼去分析
[面试官] 五十萬
[候选人] 三個月五十萬
[候选人] 零轉化
[面试官] 對然後幾乎沒有
[候选人] 沒有轉化
[面试官] 印死youtube都有
[面试官] tk就不包涵了
[候选人] 因為tk主要是
[面试官] 賣貨的去了
[面试官] 首先第一點的話就是
[面试官] 看這個產品
[面试官] 就是這個視頻整理的質量
[面试官] 是不是
[面试官] 就是他隨便應付一下
[面试官] 說他真的有細心做的視頻
[面试官] 就是有沒有
[面试官] 比方說有要展示你那賣點
[面试官] 有沒有要展示你的這個
[面试官] 產品功能
[面试官] 產品
[面试官] 都是使用常見的
[面试官] 這種東西
[面试官] 第二個是看
[面试官] 這個視頻
[面试官] 或者說這個到底
[面试官] 是不是跟你在
[面试官] 內湖隨時的
[面试官] 搞累了
[面试官] 我是賣氣派的一個
[面试官] 美中的國際部來
[面试官] 當他肯定不行嗎
[面试官] 這個也要去分析
[面试官] 第三個的話就是
[面试官] 你有沒有具體去追蹤
[面试官] 因為這個東西
[面试官] 如果說是
[面试官] 衛生主要做
[面试官] 獨立還是那個
[面试官] 都做tk也有
[面试官] 因為這個東西
[面试官] 出不出來你不好過音
[面试官] 就是看
[面试官] 之前的話
[面试官] 我們過音的話
[面试官] 主要是通過
[面试官] 會過去來
[面试官] 或者說過音鏈接
[面试官] 主要是兩種
[面试官] 對我們有
[候选人] B次裡可以縮短鏈
[候选人] 可以打UTM參數
[面试官] 對我們有這個
[面试官] 就是說這個東西
[面试官] 就是已經做了
[面试官] 只是說
[面试官] 我換了外法
[面试官] 就是說
[面试官] 我們已經做了這個
[面试官] 回音的還是沒有參數
[面试官] 但是說我們沒有做
[面试官] 回音的我們不確定
[面试官] 對就是做個回音
[候选人] 然後發現訂單為0
[候选人] 就是進到
[候选人] 進到獨立站
[候选人] 或者點到
[面试官] 要嘛是Ultra View
[候选人] 訓練界然後都是0
[面试官] 就是做了回音單
[面试官] 就沒有那種
[面试官] 無判的那種
[面试官] 對
[面试官] 反低
[面试官] 然後剛第一個是
[面试官] 那個
[面试官] 一個是內容
[面试官] 第二個是那個
[面试官] 隨不隨時
[面试官] 然後第三個的話就是看
[面试官] 看這個遊會當作
[面试官] 因為不管是做
[面试官] 你是做新品也好
[面试官] 還是做
[面试官] 你要做推薦也好
[面试官] 其實都是
[面试官] 要做一個遊會的
[面试官] 對
[面试官] 然後第四個的話就是
[面试官] 你的價格都合理了
[面试官] 就是跟通話相比
[面试官] 就是
[面试官] 如果說
[面试官] 相似的一個答案
[面试官] 你代表的
[面试官] 就是肯定會有
[面试官] 就是進品嘛
[面试官] 就比方說這個答案的話
[面试官] 你代過我進品的話
[面试官] 那我找你大手其實很正常
[面试官] 然後我要看他
[面试官] 進品之前沒有出
[面试官] 還是說
[面试官] 就是我比較一樣
[面试官] 只是
[面试官] 只是說
[面试官] 只是我還說
[面试官] 大家這麼出場
[面试官] 這個也是一種
[面试官] 不一樣的情況
[面试官] 嗯
[面试官] OK
[面试官] 我就是想了解一下
[候选人] 你們當時跟達人
[候选人] 見面的時候
[候选人] 你們的內容腳本是
[候选人] 全部都是達人自己
[候选人] 寫的
[候选人] 還說你們這邊
[候选人] 會有內容腳本
[候选人] 然後指導讓
[候选人] 那個達人去拍攝
[面试官] 我們會提供
[面试官] 簡單的brief
[面试官] 就是不會有特別具體的
[面试官] 基本上還是那個網紅
[候选人] 他可能按照自己以往的
[候选人] 那個視頻風格
[候选人] 然後去拍攝
[面试官] 我們會要求
[面试官] 首先就是
[面试官] 產品賣點
[面试官] 然後
[面试官] 比較具體的
[面试官] 比如說
[面试官] 使用產品
[面试官] 或者使用的一些
[面试官] 軟人群
[面试官] 或者說你必須要
[面试官] 提供什麼東西
[面试官] 這個其實
[面试官] 看每個品牌
[面试官] 就是你必須
[面试官] 不會說很具體的
[面试官] 就是你必須要怎麼拍
[面试官] 但是我
[面试官] 預先點
[面试官] 你必須要提到
[面试官] 比如說
[面试官] 我賣這個電腦
[面试官] 然後我肯定
[面试官] 你必須要展示
[面试官] 我這個產品
[面试官] 你必須要展示我是
[面试官] 一些新的參數
[面试官] 等等這些東西
[面试官] 好
[候选人] 我現在給你
[候选人] 三個數據
[候选人] 就是達人A播放量10萬
[候选人] CTR在0.2%
[候选人] 達人B播放2萬
[候选人] CTR在5%
[候选人] 達人C播放
[候选人] 5000 CTR在10%
[候选人] 你如果說是
[候选人] 這三個紅人裡面
[候选人] 只能選一個
[候选人] 去給到他
[候选人] 合作費用
[候选人] 付費的這種合作
[面试官] 你這個預算
[候选人] 會有限給誰
[面试官] 達人A播放量
[候选人] 是10萬
[候选人] 然後
[候选人] CTR在0.2%
[面试官] 然後第二個達人的話
[候选人] 播放量是2萬
[候选人] CTR在5%
[面试官] 然後第三個達人的話
[候选人] 播放量在5000 CTR在10%
[面试官] 那麼
[候选人] 如果只能選擇一個
[候选人] 你的預算優先會給誰
[面试官] 會和誰合作
[面试官] 第二個
[候选人] 為什麼呢
[面试官] 首先
[面试官] 第一個
[面试官] 可能是排除的
[面试官] 因為他的那個CTR太低了
[面试官] 第二個
[面试官] 一個第三顆去選的話
[面试官] 5000
[面试官] 他的CTR在10%
[面试官] 但是2萬的話
[面试官] CTR在5%
[面试官] 雖然說他們的CTR差距很大
[面试官] 但是因為他們的技術
[面试官] 排得滿
[面试官] 達人B播放
[面试官] 他提到
[面试官] 他這個5000
[面试官] 如果他
[面试官] 成一個4倍
[面试官] 那麼他百分之10
[面试官] 的話
[面试官] 再除一個10倍
[面试官] 那其實的話
[面试官] 可能是這個人吧
[面试官] 你算一下呢
[面试官] 2萬成1%之5
[面试官] 是多少
[面试官] 1000
[面试官] 對吧
[面试官] 5000成1
[候选人] 0.1
[面试官] 500
[候选人] 也就多了500
[候选人] 按這麼算的話
[候选人] 但是
[候选人] 這裡其實有一個問題是
[候选人] 我們要先有一個目標
[候选人] 就是你去
[候选人] 跟紅人聯繫的時候
[候选人] 你的目標是以
[候选人] 轉化為主
[候选人] 還是以
[候选人] 曝光為主
[候选人] 對吧
[候选人] 那
[候选人] 所以其實這個問題
[候选人] 它是開放的問題
[候选人] 很多數據我都沒有給到
[候选人] 但是你可以問我
[候选人] 就是
[候选人] 對這些事情
[候选人] 你可以提出來了點
[候选人] 就是如果你是以
[候选人] 轉化為主的話
[候选人] 那你其實看
[候选人] 看這個CTR
[候选人] 風味點擊率
[候选人] 那其實這些都
[候选人] 沒辦法完成你的目標
[候选人] 但如果你是
[候选人] 播放量
[候选人] 是你的這個目標的話
[候选人] 那你這個回答
[候选人] 你這個答案的話
[候选人] 就是
[候选人] 就是
[候选人] 第二個應該是這裡面
[候选人] 曝光最多的
[候选人] 就是點擊這個視頻
[候选人] 然後去看的這個概率嘛
[候选人] 就流量量會最多嘛
[候选人] 對
[候选人] 但是還是要優先考慮這個
[候选人] 我們的目標是以
[候选人] 轉化還是以曝光為主
[候选人] 然後可能才能更好
[候选人] 去做這個決策
[候选人] 然後就是
[候选人] 再一個設計到
[候选人] 執行層上的問題
[候选人] 就是
[候选人] 你是怎麼根據
[候选人] 就是你怎麼去
[候选人] 跟紅人談判的時候
[候选人] 然後去設計這個
[候选人] 價格是在
[候选人] 你認為是給這個紅人談
[候选人] 這個價格是合理的
[候选人] 你如何去評估
[候选人] 比如說這個紅人
[候选人] 他要價兩千
[候选人] 他報價兩千美金
[候选人] 這個報價
[候选人] 兩百美金
[候选人] 然後你是怎麼去
[候选人] 拿捏這個
[候选人] 價格的尺度的
[面试官] 之前我們
[面试官] 跟曾居蔡可
[面试官] 就已經有過程間了
[面试官] 嗯
[面试官] 對
[面试官] 我們只算那個
[面试官] YouTube
[面试官] 嗯
[面试官] 如果這個外國
[面试官] 我們之前算的話
[面试官] 就是他平均
[面试官] 過去半年
[面试官] 他的平均
[面试官] 比如說
[面试官] 每一千次播放
[面试官] 我們願意給人的
[面试官] 這種大概是
[面试官] 一百美金
[面试官] CPM是吧
[面试官] 不是
[面试官] 就是播放
[面试官] 就CPM
[候选人] 每千次展示成本
[候选人] 是嗎
[面试官] 對
[面试官] 我差不多
[面试官] 不是一百美金
[面试官] 應該是那個
[面试官] 50到70之間
[面试官] CPM嗎
[候选人] 50到70
[面试官] Youtube是會高一點
[候选人] 但是我們好像是
[候选人] 20
[候选人] 我們好像是
[面试官] 20到30
[面试官] 那這個還能做
[面试官] 說說吧
[面试官] 我可以說你的產品
[面试官] 特別有型
[面试官] 或者說你的產品
[面试官] 價格特別高
[候选人] 不是
[面试官] 我就說CPM是20到30
[候选人] 就是每千次
[候选人] 曝光的成本
[候选人] 在20到30美金
[面试官] 我們是50到70
[候选人] 你說的是CPM嗎
[面试官] 50到70
[候选人] 就每千次播放
[候选人] 就是50美金的成本
[面试官] 我們是跟這個還能的
[面试官] 比如說
[面试官] 當然這個品質
[面试官] 不是說單個
[面试官] 就是我們會
[面试官] 塞成的
[面试官] 過去半年的一個數據
[面试官] 比如說
[面试官] 你的單人過去
[面试官] 當然這個
[面试官] 跟那個粉絲量
[面试官] 沒有一個關係
[面试官] 粉絲量也不做
[面试官] 一個參考比例吧
[面试官] 我們先哭吧
[面试官] 我們粉絲量
[面试官] 我們只能和他
[面试官] 一個活報量
[面试官] 過去半年
[面试官] 比如說一個打擾
[面试官] 過去半年
[面试官] 當一個活報量是
[面试官] 一萬
[面试官] 我們願意給的
[面试官] 就是
[面试官] 50美金
[面试官] 到70美金之間
[面试官] 就是看
[面试官] 然後
[面试官] 就是這個是
[面试官] 我們自己的
[候选人] 合理了
[候选人] 對 我們也是要這個算的
[面试官] 去國務
[面试官] 就看他怎麼
[面试官] 出價
[面试官] 首先我們肯定是
[面试官] 會讓對方
[面试官] 先出一個價格
[面试官] 然後
[面试官] 我先看這個價格
[面试官] 跟我們
[面试官] 一個評價
[面试官] 是不是差了一點大
[面试官] 如果差了很大的話
[面试官] 我們就是
